newsgroup_a,newsgroup_b,messages_a,messages_b,cosine_similarity
no.biz.annonser,no.marked.data,3658,22621,0.94361675
no.ms-windows,no.pc,8305,25734,0.94321924
no.alt.gledesutbrudd,no.general,11406,76902,0.9423943
no.alt.radio-tv.irma-1000,no.alt.radio_tv.irma1000,236,417,0.9415784
no.norsk,no.skole.diverse,17383,566,0.940773
no.general,no.prat.politikk,76902,3672,0.9400588
no.eunet.diverse,no.mail.drift,169,576,0.9398973
no.news.drift,no.uninett.diverse,571,207,0.9390353
no.alt.diskusjoner,no.alt.frustrasjoner,15893,35424,0.93867767
no.mail.drift,no.news.drift,576,571,0.9381895
no.eunet.drift,no.uninett.drift,405,110,0.9373954
no.it.diverse,no.multimedia,527,2273,0.9371595
no.news.drift,no.telepost,571,948,0.9371488
no.musikk.klassisk,no.musikk,288,27521,0.9367795
no.alt.gledesutbrudd,no.alt.irc-treff,11406,1017,0.9347845
no.alt.config,no.general,625,76902,0.9336556
no.mail.drift,no.telepost,576,948,0.93297946
no.it.diverse,no.net,527,2082,0.9318128
no.biz.annonser.data,no.marked,1311,26848,0.9314315
no.eunet.diverse,no.telepost,169,948,0.9309682
no.hobby.diverse,no.marked,482,26848,0.9308781
no.mswindow,no.pc,772,25734,0.9300713
no.alt.gledesutbrudd,no.alt.irctreff,11406,493,0.9290925
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,367,236,0.928487
no.news.drift,no.uninett.hjelp,571,78,0.9278399
no.biz.nettilbydere,no.tele,824,5701,0.9278282
no.net,no.uninett.hjelp,2082,78,0.9275784
no.eunet.diverse,no.uninett.diverse,169,207,0.9274497
no.eunet.diverse,no.eunet.drift,169,405,0.9265199
no.eunet.hjelp,no.net,601,2082,0.9261018
no.mail.drift,no.net,576,2082,0.92598736
no.news.drift,no.nuug,571,107,0.9258652
no.uninett.diverse,no.uninett.hjelp,207,78,0.9255375
no.alt.gledesutbrudd,no.alt.radio_tv.irma1000,11406,417,0.9251901
no.alt.frustrasjoner,no.alt.irc-treff,35424,1017,0.9251754
no.alt.diskusjoner,no.prat.seksualitet,15893,3616,0.92469275
no.general,no.org.efn.diskusjon,76902,1341,0.92456716
no.general,no.stortinget,76902,2563,0.9243402
no.alkohol,no.prat.narkotika,3468,2474,0.9243313
no.general,no.jus,76902,8006,0.92395484
no.jus,no.org.efn.diskusjon,8006,1341,0.9235622
no.net,no.news.drift,2082,571,0.9231585
no.alt.mat.drikke,no.alt.mat,758,3909,0.92247653
no.student.nett,no.uninett.skole,418,829,0.922276
no.telepost,no.uninett.diverse,948,207,0.92198646
no.alt.frustrasjoner,no.alt.radio_tv.irma1000,35424,417,0.921387
no.alt.config,no.alt.radio-tv.irma-1000,625,236,0.9211323
no.eunet.diverse,no.nuug,169,107,0.9202386
no.general,no.vitser,76902,10517,0.9200814
no.alt.diskusjoner,no.jus,15893,8006,0.91951424
no.eunet.diverse,no.news.diverse,169,9287,0.9193966
no.alt.gledesutbrudd,no.alt.god.jul,11406,750,0.91934174
no.eunet.diverse,no.uninett.hjelp,169,78,0.91925883
no.norsk.fagord,no.norsk,310,17383,0.91910136
no.news.diverse,no.uninett.diverse,9287,207,0.9184772
no.alt.frustrasjoner,no.ef,35424,1368,0.918389
no.general,no.skole.diverse,76902,566,0.9180897
no.multimedia,no.pc,2273,25734,0.9172554
no.alt.radio-tv.irma-1000,no.general,236,76902,0.9168385
no.mac,no.pc,22107,25734,0.91633004
no.alt.irc-treff,no.alt.radio_tv.irma1000,1017,417,0.9161086
no.biz.diskusjoner,no.net,276,2082,0.9160445
no.alt.radio-tv.irma-1000,no.radio-tv,236,4392,0.91579527
no.mail.drift,no.uninett.hjelp,576,78,0.915661
no.mail.drift,no.news.diverse,576,9287,0.9155158
no.telepost,no.uninett.hjelp,948,78,0.91546756
no.net,no.uninett.diverse,2082,207,0.91494143
no.alt.radio-tv.irma-1000,no.news.diverse,236,9287,0.91368127
no.it.diverse,no.ms-windows,527,8305,0.91346735
no.general,no.havforskning,76902,516,0.91330063
no.mail.diverse,no.net,1978,2082,0.9131614
no.media,no.multimedia,123,2273,0.9131498
no.alt.fan.de-lillos,no.musikk,244,27521,0.91309196
no.nuug,no.uninett.diverse,107,207,0.9128183
no.alt.radio-tv.irma-1000,no.radio_tv,236,1682,0.912769
no.alt.irc-treff,no.general,1017,76902,0.9127319
no.embnet,no.news.drift,398,571,0.91266036
no.biz.diskusjoner,no.telepost,276,948,0.9125387
no.irc,no.news.diverse,6511,9287,0.91251546
no.alt.radio-tv.irma-1000,no.news.drift,236,571,0.9121446
no.alt.radio-tv.irma-1000,no.media,236,123,0.9121445
no.general,no.irc,76902,6511,0.91168785
no.eunet.diverse,no.net,169,2082,0.91160125
no.sport.diverse,no.sport.volleyball,6331,156,0.91118973
no.alt.frustrasjoner,no.alt.pompel-og-pilt,35424,367,0.9109158
no.musikk.gitar,no.musikk,2387,27521,0.91087323
no.news.diverse,no.org.efn.diskusjon,9287,1341,0.910648
no.eunet.diverse,no.mail.diverse,169,1978,0.91038924
no.irc,no.news.drift,6511,571,0.91028947
no.alt.frustrasjoner,no.alt.irctreff,35424,493,0.9098654
no.news.drift,no.org.efn.diskusjon,571,1341,0.90910894
no.net,no.www,2082,3436,0.9090744
no.mail.diverse,no.telepost,1978,948,0.90905267
no.general,no.news.drift,76902,571,0.90884244
no.it.diverse,no.mac,527,22107,0.9088346
no.general,no.prat.seksualitet,76902,3616,0.90853596
no.alt.radio_tv.irma1000,no.general,417,76902,0.90799135
no.mail.drift,no.uninett.diverse,576,207,0.9076554
no.alt.irc-treff,no.irc,1017,6511,0.9072679
no.alt.frustrasjoner,no.prat.seksualitet,35424,3616,0.90716803
no.news.drift,no.standard,571,98,0.906736
no.alt.config,no.alt.frustrasjoner,625,35424,0.90672064
no.eunet.drift,no.telepost,405,948,0.9065847
no.skole.diverse,no.uninett.skole,566,829,0.9064157
no.alt.pompel-og-pilt,no.general,367,76902,0.90637
no.alt.frustrasjoner,no.alt.pompelog,35424,287,0.9061874
no.alt.pompel-og-pilt,no.alt.radio_tv.irma1000,367,417,0.9061415
no.it.os.os2,no.pc,696,25734,0.9060355
no.news.diverse,no.nuug,9287,107,0.90603364
no.biz.nettilbydere,no.eunet.drift,824,405,0.90599954
no.ef,no.jus,1368,8006,0.9057808
no.alt.frustrasjoner,no.alt.radio-tv.irma-1000,35424,236,0.90525556
no.news.diverse,no.telepost,9287,948,0.90488917
no.mail.diverse,no.uninett.hjelp,1978,78,0.9048267
no.eunet.diverse,no.org.efn.diskusjon,169,1341,0.90422094
no.irc,no.mail.drift,6511,576,0.90417725
no.amiga,no.pc,3265,25734,0.90411365
no.alt.diskusjoner,no.alt.gledesutbrudd,15893,11406,0.90375423
no.news.diverse,no.standard,9287,98,0.90334415
no.alt.config,no.uninett.diverse,625,207,0.90310836
no.alt.frustrasjoner,no.news.diverse,35424,9287,0.9028023
no.alt.pompelog,no.general,287,76902,0.9027821
no.eunet.drift,no.net,405,2082,0.9027257
no.mail.diverse,no.news.drift,1978,571,0.9026032
no.alt.config,no.irc,625,6511,0.9024764
no.multimedia,no.net,2273,2082,0.9023535
no.folklore.generelt,no.folklore.overtro,15,11,0.9020363
no.alt.radio-tv.irma-1000,no.irc,236,6511,0.90202314
no.alt.radio-tv.irma-1000,no.uninett.diverse,236,207,0.9012147
no.alt.gledesutbrudd,no.alt.pompel-og-pilt,11406,367,0.9011235
no.alt.radio-tv.irma-1000,no.embnet,236,398,0.89957297
no.alt.frustrasjoner,no.alt.god.jul,35424,750,0.8994903
no.student.nett,no.uninett.diverse,418,207,0.89918166
no.alt.diskusjoner,no.news.diverse,15893,9287,0.899175
no.eunet.drift,no.news.drift,405,571,0.89916134
no.biz.annonser,no.hobby.diverse,3658,482,0.89915
no.alt.config,no.eunet.diverse,625,169,0.8990534
no.ef,no.news.diverse,1368,9287,0.8986281
no.irc,no.net,6511,2082,0.8982675
no.uninett.drift,no.uninett.hjelp,110,78,0.89816
no.multimedia,no.sources.wanted,2273,152,0.8981062
no.eunet.hjelp,no.telepost,601,948,0.8980113
no.alt.gledesutbrudd,no.alt.radio-tv.irma-1000,11406,236,0.8977431
no.alt.pompel-og-pilt,no.havforskning,367,516,0.8976574
no.biz.diskusjoner,no.biz.nettilbydere,276,824,0.897651
no.alt.radio-tv.irma-1000,no.havforskning,236,516,0.89763236
no.alt.gledesutbrudd,no.alt.pompelog,11406,287,0.89742815
no.alt.config,no.alt.diskusjoner,625,15893,0.8973011
no.embnet,no.news.diverse,398,9287,0.8971074
no.havforskning,no.news.diverse,516,9287,0.8970246
no.alt.frustrasjoner,no.havforskning,35424,516,0.89669436
no.embnet,no.eunet.diverse,398,169,0.8966064
no.alt.config,no.havforskning,625,516,0.8962469
no.bibsys,no.general,98,76902,0.8962225
no.biz.diskusjoner,no.marked.diskusjon,276,76,0.89600825
no.student.nett,no.uninett.hjelp,418,78,0.8959997
no.general,no.standard,76902,98,0.8959971
no.irc,no.telepost,6511,948,0.895871
no.jus,no.prat.politikk,8006,3672,0.8949915
no.biz.diskusjoner,no.media,276,123,0.89464575
no.kjemi,no.vit.diverse,1463,622,0.8945169
no.eunet.diverse,no.eunet.hjelp,169,601,0.8945047
no.embnet,no.havforskning,398,516,0.89440894
no.alt.config,no.mail.drift,625,576,0.89397067
no.alt.irctreff,no.alt.radio_tv.irma1000,493,417,0.89378923
no.alt.config,no.ef,625,1368,0.89375436
no.it.emacs,no.lisp,1054,504,0.8937463
no.general,no.norsk,76902,17383,0.8937131
no.alt.pompelog,no.alt.radio-tv.irma-1000,287,236,0.8936414
no.net,no.pc,2082,25734,0.8932874
no.alt.irctreff,no.speider,493,1463,0.8932853
no.alt.config,no.alt.pompel-og-pilt,625,367,0.89327776
no.alt.config,no.alt.irc-treff,625,1017,0.8930774
no.alt.frustrasjoner,no.prat.politikk,35424,3672,0.89304674
no.media,no.uninett.diverse,123,207,0.8930209
no.bibsys,no.embnet,98,398,0.8929094
no.elektronikk,no.multimedia,3838,2273,0.8929053
no.alt.diskusjoner,no.skole.diverse,15893,566,0.8926141
no.embnet,no.nuug,398,107,0.8925707
no.eunet.hjelp,no.uninett.drift,601,110,0.8925245
no.org.efn.diskusjon,no.telepost,1341,948,0.892383
no.alt.pompelog,no.alt.radio_tv.irma1000,287,417,0.8923749
no.embnet,no.uninett.diverse,398,207,0.8919594
no.general,no.uninett.diverse,76902,207,0.8918451
no.alt.config,no.nuug,625,107,0.89180166
no.alt.irc-treff,no.speider,1017,1463,0.8916779
no.it.diverse,no.it.os.os2,527,696,0.89133674
no.amiga,no.multimedia,3265,2273,0.8912605
no.bibsys,no.news.diverse,98,9287,0.89125013
no.alt.config,no.alt.radio_tv.irma1000,625,417,0.8911571
no.alt.radio_tv.irma1000,no.vitser,417,10517,0.89106166
no.alt.pompelog,no.havforskning,287,516,0.89092356
no.alt.diskusjoner,no.org.efn.diskusjon,15893,1341,0.89085627
no.eunet.hjelp,no.it.diverse,601,527,0.8907924
no.news.drift,no.uninett.drift,571,110,0.8902734
no.alt.radio-tv.irma-1000,no.mail.drift,236,576,0.8901815
no.it.diverse,no.www,527,3436,0.8901248
no.general,no.pressemeldinger.diskusjon,76902,42,0.8898244
no.alt.irc-treff,no.vitser,1017,10517,0.88971424
no.media,no.news.drift,123,571,0.8895662
no.alt.diskusjoner,no.vit.diverse,15893,622,0.88953704
no.alt.god.jul,no.alt.radio_tv.irma1000,750,417,0.8895073
no.alt.tegneserier,no.litteratur,2246,3989,0.8893284
no.general,no.mail.drift,76902,576,0.8893043
no.hobby.diverse,no.sources.wanted,482,152,0.8893032
no.jus,no.stortinget,8006,2563,0.88921887
no.media,no.telepost,123,948,0.88920134
no.litteratur,no.skole.diverse,3989,566,0.8892005
no.irc,no.org.efn.diskusjon,6511,1341,0.8891043
no.alt.radio-tv.irma-1000,no.telepost,236,948,0.889065
no.biz.diskusjoner,no.multimedia,276,2273,0.8889948
no.biz.diskusjoner,no.it.diverse,276,527,0.888718
no.alt.diskusjoner,no.vitser,15893,10517,0.88868487
no.bibsys,no.biz.diskusjoner,98,276,0.88868093
no.biz.diskusjoner,no.uninett.diverse,276,207,0.8885976
no.it.os.os2,no.ms-windows,696,8305,0.88855076
no.tegnsett,no.typografi,416,303,0.88853455
no.general,no.vit.diverse,76902,622,0.88823336
no.hobby.diverse,no.media,482,123,0.88822234
no.alt.gledesutbrudd,no.ef,11406,1368,0.88774306
no.bolig,no.marked.bolig,1148,741,0.8877412
no.eunet.diverse,no.irc,169,6511,0.8877355
no.mac,no.multimedia,22107,2273,0.88743603
no.ef,no.havforskning,1368,516,0.8872297
no.alt.motorsykler,no.sykkel,42775,3996,0.88693035
no.nuug,no.standard,107,98,0.8867846
no.biz.diskusjoner,no.news.drift,276,571,0.88668233
no.alt.frustrasjoner,no.skole.diverse,35424,566,0.88661045
no.bibsys,no.skole.diverse,98,566,0.8866081
no.elektronikk,no.hobby.diverse,3838,482,0.88652086
no.news.diverse,no.skole.diverse,9287,566,0.88638055
no.general,no.telepost,76902,948,0.8863772
no.eunet.hjelp,no.uninett.hjelp,601,78,0.88589036
no.it.diverse,no.sources.wanted,527,152,0.885888
no.alkohol,no.alt.diskusjoner,3468,15893,0.8858816
no.general,no.media,76902,123,0.8858677
no.alt.god.jul,no.general,750,76902,0.8858334
no.embnet,no.general,398,76902,0.8858288
no.telepost,no.uninett.drift,948,110,0.88568187
no.alt.gledesutbrudd,no.havforskning,11406,516,0.88555044
no.eunet.drift,no.uninett.hjelp,405,78,0.88540435
no.embnet,no.telepost,398,948,0.8852829
no.alt.irc-treff,no.alt.radio-tv.irma-1000,1017,236,0.8852496
no.it.diverse,no.mswindow,527,772,0.88523877
no.alt.pompel-og-pilt,no.news.diverse,367,9287,0.88508785
no.net,no.news.diverse,2082,9287,0.885008
no.net,no.uninett.drift,2082,110,0.88492703
no.alt.pompel-og-pilt,no.vitser,367,10517,0.88489914
no.alt.god.jul,no.alt.radio-tv.irma-1000,750,236,0.88483214
no.alt.config,no.alt.gledesutbrudd,625,11406,0.8848086
no.ef,no.skole.diverse,1368,566,0.88476914
no.alt.diskusjoner,no.havforskning,15893,516,0.8847127
no.biz.diskusjoner,no.hobby.diverse,276,482,0.88465786
no.alt.amiga,no.pc,775,25734,0.88446367
no.alt.radio_tv.irma1000,no.radio-tv,417,4392,0.8843922
no.alt.pompelog,no.vitser,287,10517,0.8843748
no.eunet.diverse,no.general,169,76902,0.88423157
no.alt.irctreff,no.vitser,493,10517,0.88417906
no.eunet.hjelp,no.mail.diverse,601,1978,0.8839931
no.audio,no.elektronikk,10340,3838,0.88393027
no.alt.frustrasjoner,no.irc,35424,6511,0.8837878
no.embnet,no.mail.drift,398,576,0.8836198
no.folklore.edb,no.it.diverse,153,527,0.88344264
no.ef,no.org.efn.diskusjon,1368,1341,0.8833407
no.jus,no.marked.diskusjon,8006,76,0.8832923
no.telepost,no.www,948,3436,0.883168
no.alt.config,no.telepost,625,948,0.88311505
no.alt.god.jul,no.alt.irc-treff,750,1017,0.88294935
no.alkohol,no.alt.mat.drikke,3468,758,0.88294065
no.c,no.lisp,2562,504,0.8828833
no.alt.irc-treff,no.news.diverse,1017,9287,0.88279754
no.embnet,no.standard,398,98,0.8825524
no.alt.config,no.org.efn.diskusjon,625,1341,0.88252914
no.eunet.diverse,no.uninett.drift,169,110,0.8824551
no.biz.annonser,no.biz.diskusjoner,3658,276,0.8822522
no.it.diverse,no.unix,527,3935,0.88177145
no.prat.seksualitet,no.vitser,3616,10517,0.88175976
no.biz.diskusjoner,no.sources.wanted,276,152,0.8817217
no.alt.config,no.embnet,625,398,0.8816336
no.net,no.tele,2082,5701,0.8815855
no.alt.gledesutbrudd,no.prat.seksualitet,11406,3616,0.8815197
no.ef,no.pressemeldinger.diskusjon,1368,42,0.8814562
no.biz.nettilbydere,no.mail.drift,824,576,0.88117063
no.it.diverse,no.telepost,527,948,0.88098276
no.havforskning,no.news.drift,516,571,0.8809079
no.bil,no.marked.bil,6651,1599,0.8808218
no.kjemi,no.medisin,1463,1490,0.8807487
no.alt.radio-tv.irma-1000,no.eunet.diverse,236,169,0.8807435
no.linux,no.pc,16315,25734,0.88014746
no.alt.diskusjoner,no.psykologi,15893,1754,0.88006246
no.alt.config,no.alt.pompelog,625,287,0.8800417
no.alt.diskusjoner,no.religion,15893,20428,0.8799147
no.mail.drift,no.org.efn.diskusjon,576,1341,0.8796489
no.mail.diverse,no.tegnsett,1978,416,0.87946796
no.student.samfund,no.uninett.diverse,234,207,0.8794395
no.alt.config,no.standard,625,98,0.8794065
no.alt.radio_tv.irma1000,no.havforskning,417,516,0.879377
no.news.diverse,no.uninett.hjelp,9287,78,0.8793512
no.general,no.nuug,76902,107,0.87933767
no.bibsys,no.standard,98,98,0.87931085
no.eunet.hjelp,no.pc,601,25734,0.8790444
no.alt.frustrasjoner,no.jus,35424,8006,0.87891644
no.news.diverse,no.pressemeldinger.diskusjon,9287,42,0.8785624
no.general,no.litteratur,76902,3989,0.8785613
no.hobby.diverse,no.multimedia,482,2273,0.8784833
no.embnet,no.net,398,2082,0.878367
no.skole.diverse,no.student.nett,566,418,0.87835675
no.alt.pompel-og-pilt,no.news.drift,367,571,0.8783494
no.irc,no.uninett.diverse,6511,207,0.878329
no.standard,no.uninett.diverse,98,207,0.8782458
no.bibsys,no.news.drift,98,571,0.8781971
no.bibsys,no.havforskning,98,516,0.8781002
no.media,no.news.diverse,123,9287,0.8779665
no.org.efn.diskusjon,no.uninett.diverse,1341,207,0.87790793
no.biz.nettilbydere,no.news.drift,824,571,0.8777118
no.uninett.diverse,no.uninett.skole,207,829,0.8776748
no.alt.irctreff,no.alt.motorsykler,493,42775,0.8775816
no.alt.radio_tv.irma1000,no.news.diverse,417,9287,0.8774711
no.alt.radio_tv.irma1000,no.radio_tv,417,1682,0.8774423
no.alt.radio-tv.irma-1000,no.nuug,236,107,0.8773833
no.amiga,no.it.diverse,3265,527,0.8771257
no.eunet.hjelp,no.mail.drift,601,576,0.8771087
no.alt.frustrasjoner,no.stortinget,35424,2563,0.8770897
no.mail.drift,no.nuug,576,107,0.8769914
no.alt.irctreff,no.general,493,76902,0.87685466
no.multimedia,no.video,2273,510,0.8767384
no.havforskning,no.nuug,516,107,0.8765365
no.alt.diskusjoner,no.alt.irc-treff,15893,1017,0.8764566
no.nuug,no.uninett.hjelp,107,78,0.87644994
no.eunet.hjelp,no.ms-windows,601,8305,0.87623376
no.news.drift,no.uninett.skole,571,829,0.8761301
no.havforskning,no.kjemi,516,1463,0.8759822
no.havforskning,no.speider,516,1463,0.87586397
no.alt.pompel-og-pilt,no.media,367,123,0.8758566
no.mail.diverse,no.uninett.diverse,1978,207,0.87584126
no.student.samfund,no.uninett.skole,234,829,0.8758229
no.media,no.net,123,2082,0.87570375
no.biz.nettilbydere,no.eunet.hjelp,824,601,0.87556106
no.alt.god.jul,no.vitser,750,10517,0.87555104
no.it.os.os2,no.mswindow,696,772,0.87541807
no.standard,no.tegnsett,98,416,0.87534636
no.org.efn.diskusjon,no.org.isoc-no,1341,46,0.8752349
no.film,no.radio-tv,12505,4392,0.875183
no.alt.config,no.alt.god.jul,625,750,0.8751567
no.alt.gledesutbrudd,no.alt.motorsykler,11406,42775,0.874882
no.alt.diskusjoner,no.norsk,15893,17383,0.8748241
no.mail.diverse,no.news.diverse,1978,9287,0.874695
no.alt.pompel-og-pilt,no.embnet,367,398,0.8746836
no.alt.frustrasjoner,no.bibsys,35424,98,0.8746726
no.tele,no.telepost,5701,948,0.87461674
no.alt.gledesutbrudd,no.news.diverse,11406,9287,0.87441385
no.net,no.sources.wanted,2082,152,0.8743693
no.uninett.diverse,no.uninett.drift,207,110,0.8743324
no.alt.diskusjoner,no.pressemeldinger.diskusjon,15893,42,0.8741259
no.general,no.radio-tv,76902,4392,0.8739363
no.multimedia,no.telepost,2273,948,0.87364626
no.embnet,no.uninett.hjelp,398,78,0.8732904
no.norsk.fagord,no.skole.diverse,310,566,0.87325716
no.bibsys,no.media,98,123,0.873219
no.pressemeldinger.diskusjon,no.stortinget,42,2563,0.87312
no.alt.god.jul,no.alt.pompel-og-pilt,750,367,0.87305737
no.musikk.gitar,no.musikk.klassisk,2387,288,0.87296593
no.elektronikk,no.pc,3838,25734,0.87290287
no.alt.pompel-og-pilt,no.telepost,367,948,0.8728973
no.alt.radio_tv.irma1000,no.irc,417,6511,0.8727272
no.nuug,no.telepost,107,948,0.8726074
no.ef,no.prat.seksualitet,1368,3616,0.8725934
no.embnet,no.irc,398,6511,0.8725112
no.nuug,no.student.nett,107,418,0.87250084
no.alt.radio-tv.irma-1000,no.biz.diskusjoner,236,276,0.87236583
no.eunet.diverse,no.standard,169,98,0.8723654
no.biz.nettilbydere,no.eunet.diverse,824,169,0.872362
no.it.diverse,no.linux,527,16315,0.87233555
no.biz.nettilbydere,no.uninett.drift,824,110,0.87231976
no.uninett.hjelp,no.uninett.skole,78,829,0.872125
no.alt.frustrasjoner,no.alt.motorsykler,35424,42775,0.8721182
no.prat.politikk,no.pressemeldinger.diskusjon,3672,42,0.8720559
no.prat.politikk,no.skole.diverse,3672,566,0.8720458
no.alt.config,no.media,625,123,0.87201756
no.alt.config,no.bibsys,625,98,0.8718127
no.alt.frustrasjoner,no.radio-tv,35424,4392,0.87175035
no.alt.pompel-og-pilt,no.uninett.diverse,367,207,0.8717052
no.alt.pompelog,no.media,287,123,0.8714539
no.mail.drift,no.www,576,3436,0.87140185
no.embnet,no.media,398,123,0.87134576
no.alt.diskusjoner,no.alt.radio_tv.irma1000,15893,417,0.87123466
no.alt.amiga,no.multimedia,775,2273,0.8711912
no.news.drift,no.student.nett,571,418,0.87103224
no.alt.pompelog,no.news.diverse,287,9287,0.87097883
no.jus,no.news.diverse,8006,9287,0.8709706
no.havforskning,no.uninett.diverse,516,207,0.8708725
no.audio,no.video,10340,510,0.87080663
no.eunet.hjelp,no.news.drift,601,571,0.87076277
no.linux,no.x,16315,390,0.87070096
no.news.diverse,no.student.samfund,9287,234,0.8706306
no.alt.diskusjoner,no.prat.narkotika,15893,2474,0.87060827
no.alt.gledesutbrudd,no.radio-tv,11406,4392,0.87060606
no.spill.rollespill,no.spill,1017,12310,0.87046075
no.news.drift,no.www,571,3436,0.8703833
no.net,no.uninett.skole,2082,829,0.8703561
no.nuug,no.org.efn.diskusjon,107,1341,0.8703107
no.alt.frustrasjoner,no.norsk,35424,17383,0.8702307
no.film,no.radio_tv,12505,1682,0.8701459
no.standard,no.telepost,98,948,0.86992335
no.elektronikk,no.tele,3838,5701,0.86991453
no.biz.diskusjoner,no.eunet.diverse,276,169,0.86975765
no.prat.ufo,no.vit.diverse,762,622,0.86963886
no.biz.diskusjoner,no.mail.drift,276,576,0.86961895
no.news.diverse,no.uninett.skole,9287,829,0.86957747
no.folklore.edb,no.unix,153,3935,0.869502
no.c,no.unix,2562,3935,0.8694849
no.alt.frustrasjoner,no.news.drift,35424,571,0.8694251
no.net,no.unix,2082,3935,0.869261
no.mail.diverse,no.www,1978,3436,0.8691069
no.alt.pompel-og-pilt,no.radio-tv,367,4392,0.86909246
no.havforskning,no.skole.diverse,516,566,0.8690208
no.psykologi,no.vit.diverse,1754,622,0.86899847
no.medisin,no.prat.narkotika,1490,2474,0.868993
no.bibsys,no.uninett.diverse,98,207,0.8688018
no.alt.tegneserier,no.radio-tv,2246,4392,0.8687273
no.alt.frustrasjoner,no.standard,35424,98,0.86864924
no.alt.radio-tv.irma-1000,no.net,236,2082,0.8686466
no.biz.diskusjoner,no.news.diverse,276,9287,0.86862767
no.havforskning,no.media,516,123,0.8684253
no.alt.radio-tv.irma-1000,no.multimedia,236,2273,0.86823595
no.skole.diverse,no.student.samfund,566,234,0.86819214
no.eunet.drift,no.mail.drift,405,576,0.8680545
no.alt.pompel-og-pilt,no.radio_tv,367,1682,0.8679972
no.alt.motorsykler,no.bil,42775,6651,0.86797607
no.alt.god.jul,no.alt.irctreff,750,493,0.86791736
no.elektronikk,no.it.diverse,3838,527,0.8678808
no.alt.gledesutbrudd,no.speider,11406,1463,0.8678675
no.pressemeldinger.diskusjon,no.skole.diverse,42,566,0.8678311
no.alt.irc-treff,no.alt.pompel-og-pilt,1017,367,0.86778283
no.bibsys,no.student.nett,98,418,0.8677227
no.prat.politikk,no.prat.seksualitet,3672,3616,0.8676519
no.elektronikk,no.net,3838,2082,0.8675005
no.alt.diskusjoner,no.alt.radio-tv.irma-1000,15893,236,0.8673842
no.embnet,no.sources.wanted,398,152,0.8673171
no.alkohol,no.general,3468,76902,0.8672974
no.alt.frustrasjoner,no.vit.diverse,35424,622,0.86720824
no.eunet.drift,no.uninett.diverse,405,207,0.8671941
no.biz.diskusjoner,no.embnet,276,398,0.8671396
no.ef,no.vitser,1368,10517,0.8669257
no.bibsys,no.litteratur,98,3989,0.8666953
no.alt.pompelog,no.news.drift,287,571,0.86664045
no.alt.pompelog,no.uninett.diverse,287,207,0.86662805
no.alt.config,no.pressemeldinger.diskusjon,625,42,0.8665868
no.alt.gledesutbrudd,no.alt.tegneserier,11406,2246,0.86656153
no.alt.frustrasjoner,no.litteratur,35424,3989,0.8664907
no.havforskning,no.student.nett,516,418,0.86647254
no.havforskning,no.vit.diverse,516,622,0.86643904
no.marked.diskusjon,no.media,76,123,0.8664178
no.norsk.fagord,no.typografi,310,303,0.86624575
no.alt.radio-tv.irma-1000,no.vitser,236,10517,0.86616826
no.alt.diskusjoner,no.medisin,15893,1490,0.86603844
no.general,no.radio_tv,76902,1682,0.8659602
no.bibsys,no.typografi,98,303,0.8659541
no.bibsys,no.telepost,98,948,0.8659178
